A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,Y
8,8,0,7,4,2.1213,0,6,4.2426,1,6,3.5355,3,3,0,3,3,0,5,6,0.70711,12,10,1.4142,12.185,7.1481,6.6667,12.304,9.4306,22.278,11.433,27.567,27.75,20.865,27.75,20.865,29.066,10.574,21.151,4.3014,V0
4,5,0.70711,7,12,3.5355,0,4,2.8284,0,4,2.8284,6,10,2.8284,6,10,2.8284,11,5,4.2426,5,6,0.70711,4,2.6667,4.2069,8.6552,11.211,23.053,12.833,25.556,26.179,20.232,26.179,20.232,27.081,11.371,24.32,5.88,V1
12,11,0.70711,12,12,0,5,7,1.4142,5,7,1.4142,15,14,0.70711,15,14,0.70711,7,8,0.70711,6,7,0.70711,8.5,5.7353,8.6563,10.344,12.097,21.516,12.905,22.929,24.813,21.425,24.813,21.425,22.128,13.308,19.78,8.8,V2
10,4,4.2426,2,1,0.70711,1,12,7.7782,1,12,7.7782,11,10,0.70711,11,10,0.70711,15,0,10.607,3,1,1.4142,9.2708,2.7708,1.5,3.5,14.829,24.743,14.829,24.743,26.089,20.161,26.089,20.161,27.088,12.559,19.964,5.8214,V3
13,13,0,13,9,2.8284,5,11,4.2426,12,16,2.8284,11,10,0.70711,11,10,0.70711,15,3,8.4853,7,8,0.70711,10.439,3.8485,3.8305,10.017,10.187,20.934,9.9691,25.144,25.348,19.509,25.348,19.509,25.329,13.447,18.776,8.2931,V4
9,9,0,8,4,2.8284,5,8,2.1213,1,1,0,3,4,0.70711,3,4,0.70711,9,9,0,13,11,1.4142,11.405,5.5676,5.86,11.98,7.2941,18.912,9.2778,27.944,25.875,18.406,25.875,18.406,27.769,11.327,21.405,4.4595,V5
4,4,0,2,1,0.70711,1,13,8.4853,1,13,8.4853,13,11,1.4142,13,11,1.4142,14,0,9.8995,13,14,0.70711,14.565,12.391,8.7143,14.482,10.605,20.184,15,23.829,26.966,20.716,26.966,20.716,25.014,12.551,22.197,7.1475,V6
10,8,1.4142,13,5,5.6569,3,5,1.4142,11,8,2.1213,8,8,0,8,8,0,0,0,0,0,0,0,9.8806,5.6418,4.5273,11.291,10.3,22.188,10,26.823,28.389,26.444,28.389,26.444,0,0,0,0,V7
10,4,4.2426,15,8,4.9497,0,16,11.314,0,16,11.314,2,2,0,2,2,0,15,10,3.5355,13,14,0.70711,12.442,7.0385,4.9429,8.6,15.895,24.579,15.895,24.579,17.571,16.571,17.571,16.571,26.308,9.3077,20.713,6.3739,V8
5,5,0,10,15,3.5355,1,6,3.5355,1,6,3.5355,9,11,1.4142,9,11,1.4142,12,1,7.7782,9,9,0,3.6667,3.0833,5.1268,9.3099,12.308,21.323,13.78,23.317,24.717,19.811,24.717,19.811,25.645,11.592,23.485,7.1212,V9
5,5,0,7,3,2.8284,1,5,2.8284,1,5,2.8284,4,4,0,4,4,0,5,1,2.8284,4,4,0,10.959,4.4932,4.8025,10.667,9.6506,22.976,12.288,26.5,27.838,21.382,27.838,21.382,26.055,12.291,19.836,6.1636,V0
10,10,0,11,13,1.4142,0,6,4.2426,0,6,4.2426,7,7,0,7,7,0,7,1,4.2426,5,5,0,6.4048,4.5952,6.4789,9.169,13,22.052,13.829,23.927,28.557,21.139,28.557,21.139,26.547,11.434,23.889,6.8889,V1
